id,slug,bucket,newness,n_countries,n_reasons,n_ban_source_links,has_court_case,has_named_plaintiff,template_fingerprint,reasoning,title
4,1984,KEEP_NARRATIVE,0.948,10,2,18,0,0,,"rich signals: 10-countries, 18-ban_source_links; newness=0.95",1984
5,the-bluest-eye,KEEP_NARRATIVE,1.000,1,5,67,0,1,,"rich signals: named-plaintiff, 5-reasons, 67-ban_source_links; newness=1.00",The Bluest Eye
6,the-satanic-verses,KEEP_NARRATIVE,0.975,20,1,21,1,0,,"rich signals: court-case-string, 20-countries, 21-ban_source_links; newness=0.98",The Satanic Verses
7,and-tango-makes-three,KEEP_NARRATIVE,0.928,3,2,13,0,0,,rich signals: 13-ban_source_links; newness=0.93,And Tango Makes Three
8,animal-farm,KEEP_NARRATIVE,0.979,10,1,4,0,0,,"rich signals: 10-countries, 4-ban_source_links; newness=0.98",Animal Farm
9,the-handmaids-tale,KEEP_NARRATIVE,1.000,2,7,84,0,1,,"rich signals: named-plaintiff, 7-reasons, 84-ban_source_links; newness=1.00",The Handmaid's Tale
10,lady-chatterleys-lover,KEEP_NARRATIVE,0.892,8,2,8,0,0,,"rich signals: 8-countries, 8-ban_source_links; newness=0.89",Lady Chatterley's Lover
11,the-da-vinci-code,TEMPLATE_CONFIRMED,1.000,9,1,5,0,0,"conclusion: ""This case illustrates how religious authority and the state have hi","template conclusion: ""This case illustrates how religious authority and the state have histo…""",The Da Vinci Code
12,brave-new-world,KEEP_NARRATIVE,1.000,5,7,40,0,0,,"rich signals: 5-countries, 7-reasons, 40-ban_source_links; newness=1.00",Brave New World
13,to-kill-a-mockingbird,KEEP_NARRATIVE,1.000,1,3,3,0,0,,"rich signals: 3-reasons, 3-ban_source_links; newness=1.00",To Kill a Mockingbird
14,the-catcher-in-the-rye,KEEP_NARRATIVE,1.000,2,4,4,0,0,,"rich signals: 4-reasons, 4-ban_source_links; newness=1.00",The Catcher in the Rye
16,of-mice-and-men,KEEP_NARRATIVE,0.992,1,4,3,0,0,,"rich signals: 4-reasons, 3-ban_source_links; newness=0.99",Of Mice and Men
17,the-grapes-of-wrath,KEEP_NARRATIVE,1.000,2,4,4,0,0,,"rich signals: 4-reasons, 4-ban_source_links; newness=1.00",The Grapes of Wrath
