id,title,description_book,description_source_type,description_source_url
104,To Live,"Ben shu shi wo guo si da gu dian ming zhu zhi yi, yi jia bao yu, lin dai yu, xue bao chai de ai qing jiu ge wei xian suo, yi jia, shi, wang, xue si da jia zu wei zhong xin, yi qing chao feng jian she hui wei bei jing, xie chu le feng jian da jia zu de xing shuai, tong shi ye zhe she chu wo guo feng jian she hui xing shuai de li shi.",openlibrary,https://openlibrary.org/works/OL11675949W
3636,Early Humans: Discover How the World's First People Lived,"Ben shu shi wo guo si da gu dian ming zhu zhi yi, yi jia bao yu, lin dai yu, xue bao chai de ai qing jiu ge wei xian suo, yi jia, shi, wang, xue si da jia zu wei zhong xin, yi qing chao feng jian she hui wei bei jing, xie chu le feng jian da jia zu de xing shuai, tong shi ye zhe she chu wo guo feng jian she hui xing shuai de li shi.",openlibrary,https://openlibrary.org/works/OL11675949W
6829,Dao gong yuan qu san bu,"Ben shu shi wo guo si da gu dian ming zhu zhi yi, yi jia bao yu, lin dai yu, xue bao chai de ai qing jiu ge wei xian suo, yi jia, shi, wang, xue si da jia zu wei zhong xin, yi qing chao feng jian she hui wei bei jing, xie chu le feng jian da jia zu de xing shuai, tong shi ye zhe she chu wo guo feng jian she hui xing shuai de li shi.",openlibrary,https://openlibrary.org/works/OL11675949W
4273,Medicine: A Graphic History,"A story of a Jewish survivor of Hitler's Europe and his son, a cartoonist who tries to come to terms with his father's story and history itself.",openlibrary,https://openlibrary.org/works/OL2056818W
350,Unravel Me,"""Juliette has escaped to Omega Point, the headquarters of the rebel resistance and a safe haven for people with abilities like hers. She is finally free from The Reestablishment and their plans to use her as a weapon, but Warner, her former captor, won't let her go without a fight.""--

Juliette escapes to a safe haven, where she is free from The Reestablishment and their plans to use her as a weapon, but Warner, her former captor, won't let go without a fight. The plot contains profanity and sexual violence. Book #2",openlibrary,https://openlibrary.org/works/OL19963111W
4181,Find Me,"""Juliette has escaped to Omega Point, the headquarters of the rebel resistance and a safe haven for people with abilities like hers. She is finally free from The Reestablishment and their plans to use her as a weapon, but Warner, her former captor, won't let her go without a fight.""--

Juliette escapes to a safe haven, where she is free from The Reestablishment and their plans to use her as a weapon, but Warner, her former captor, won't let go without a fight. The plot contains profanity and sexual violence. Book #2",openlibrary,https://openlibrary.org/works/OL19963111W
520,Perfect,"Everyone has something to hide—especially high school juniors Spencer, Aria, Emily, and Hanna. Spencer covets her sister's boyfriend. Aria's fantasizing about her English teacher. Emily's crushing on the new girl at school. Hanna uses some ugly tricks to stay beautiful. But they've all kept an even bigger secret since their friend Alison vanished. How do I know? Because I know everything about the bad girls they were, the naughty girls they are, and all the dirty secrets they've kept. And guess what? I'm telling.",openlibrary,https://openlibrary.org/works/OL276728W
5575,Flawless,"Everyone has something to hide—especially high school juniors Spencer, Aria, Emily, and Hanna. Spencer covets her sister's boyfriend. Aria's fantasizing about her English teacher. Emily's crushing on the new girl at school. Hanna uses some ugly tricks to stay beautiful. But they've all kept an even bigger secret since their friend Alison vanished. How do I know? Because I know everything about the bad girls they were, the naughty girls they are, and all the dirty secrets they've kept. And guess what? I'm telling.",openlibrary,https://openlibrary.org/works/OL276728W
7730,Unbelievable,"Everyone has something to hide—especially high school juniors Spencer, Aria, Emily, and Hanna. Spencer covets her sister's boyfriend. Aria's fantasizing about her English teacher. Emily's crushing on the new girl at school. Hanna uses some ugly tricks to stay beautiful. But they've all kept an even bigger secret since their friend Alison vanished. How do I know? Because I know everything about the bad girls they were, the naughty girls they are, and all the dirty secrets they've kept. And guess what? I'm telling.",openlibrary,https://openlibrary.org/works/OL276728W
631,The Bible,"A Christian Bible is a set of books divided into the Old and New Testament that a Christian denomination has, at some point in their past or present, regarded as divinely inspired scripture.",openlibrary,https://openlibrary.org/works/OL17732W
8452,The American Heritage Children's Dictionary,"A Christian Bible is a set of books divided into the Old and New Testament that a Christian denomination has, at some point in their past or present, regarded as divinely inspired scripture.",openlibrary,https://openlibrary.org/works/OL17732W
9681,Having Young,"A Christian Bible is a set of books divided into the Old and New Testament that a Christian denomination has, at some point in their past or present, regarded as divinely inspired scripture.",openlibrary,https://openlibrary.org/works/OL17732W
978,People's Republic of Amnesia,"""Despite its emergence from backward isolation into a dynamic world economic power, a quarter-century after the People's Army crushed unarmed protestors--labeled anti-revolutionaries--in Tiananmen Square on June 4, 1989, the defining event of China's modern history remains buried. Memory is dangerous in a country built to function on national amnesia. A single act of public remembrance might expose the frailty of the state's carefully constructed edifice of accepted history, one kept aloft by strict censorship, blatant falsehood, and willful forgetting. Though the consequences of Tiananmen Square are visible everywhere throughout China, what happened there has been consigned to silence. In The People's Republic of Amnesia, NPR's China correspondent Louisa Lim offers an insider's account of this seminal tragedy, revealing the enormous impact it had on China and the reverberations still felt today. Official hypocrisy and the government's obsession with maintaining stability and silence have deepened June 4th's impact on the nation's psyche. Lim interweaves portraits of eight individuals whose lives have been shaped by June 4--including the two women who started Tiananmen Mothers, one of the first and most prominent grassroots organizations outside the Chinese government's control; a student survivor involved in the protests; a soldier who took part in the suppression; and a high-ranking government administrator who played a role in ordering the tanks into the square. In the process she offers a textured, intimate, and haunting look at the national tragedy and an unhealed wound""--",openlibrary,https://openlibrary.org/works/OL17574233W
6895,Tian'anmen de fan si,"""Despite its emergence from backward isolation into a dynamic world economic power, a quarter-century after the People's Army crushed unarmed protestors--labeled anti-revolutionaries--in Tiananmen Square on June 4, 1989, the defining event of China's modern history remains buried. Memory is dangerous in a country built to function on national amnesia. A single act of public remembrance might expose the frailty of the state's carefully constructed edifice of accepted history, one kept aloft by strict censorship, blatant falsehood, and willful forgetting. Though the consequences of Tiananmen Square are visible everywhere throughout China, what happened there has been consigned to silence. In The People's Republic of Amnesia, NPR's China correspondent Louisa Lim offers an insider's account of this seminal tragedy, revealing the enormous impact it had on China and the reverberations still felt today. Official hypocrisy and the government's obsession with maintaining stability and silence have deepened June 4th's impact on the nation's psyche. Lim interweaves portraits of eight individuals whose lives have been shaped by June 4--including the two women who started Tiananmen Mothers, one of the first and most prominent grassroots organizations outside the Chinese government's control; a student survivor involved in the protests; a soldier who took part in the suppression; and a high-ranking government administrator who played a role in ordering the tanks into the square. In the process she offers a textured, intimate, and haunting look at the national tragedy and an unhealed wound""--",openlibrary,https://openlibrary.org/works/OL17574233W
1021,The Hindu Art of Love,"A work of philosophy, psychology, sociology, Hindu dogma, scientific inquiry, and sexology, the ""Kama Sutra"" has been a classic of world literature for more than 1700 years.",openlibrary,https://openlibrary.org/works/OL239940W
1030,Intimate Embrace,"A work of philosophy, psychology, sociology, Hindu dogma, scientific inquiry, and sexology, the ""Kama Sutra"" has been a classic of world literature for more than 1700 years.",openlibrary,https://openlibrary.org/works/OL239940W
1066,The Tale of Steven,"**The Secret Agent: A Simple Tale** is a novel by Joseph Conrad, first published in 1907. The story is set in London in 1886 and deals with Mr. Adolf Verloc and his work as a spy for an unnamed country (presumably Russia). The Secret Agent is one of Conrad's later political novels in which he moved away from his former tales of seafaring. The novel is dedicated to H. G. Wells and deals broadly with anarchism, espionage, and terrorism. It also deals with exploitation of the vulnerable in Verloc's relationship with his brother-in-law Stevie, who has an intellectual disability. Conrad’s gloomy portrait of London depicted in the novel was influenced by Charles Dickens’ *Bleak House*.

(Source: [Wikipedia](https://en.wikipedia.org/wiki/The_Secret_Agent))",openlibrary,https://openlibrary.org/works/OL39108W
4741,The Degenerates,"**The Secret Agent: A Simple Tale** is a novel by Joseph Conrad, first published in 1907. The story is set in London in 1886 and deals with Mr. Adolf Verloc and his work as a spy for an unnamed country (presumably Russia). The Secret Agent is one of Conrad's later political novels in which he moved away from his former tales of seafaring. The novel is dedicated to H. G. Wells and deals broadly with anarchism, espionage, and terrorism. It also deals with exploitation of the vulnerable in Verloc's relationship with his brother-in-law Stevie, who has an intellectual disability. Conrad’s gloomy portrait of London depicted in the novel was influenced by Charles Dickens’ *Bleak House*.

(Source: [Wikipedia](https://en.wikipedia.org/wiki/The_Secret_Agent))",openlibrary,https://openlibrary.org/works/OL39108W
1156,"Assassination Classroom, Vol. 4","Assassination Classroom (Japanese: 暗殺教室, Hepburn: Ansatsu Kyōshitsu) is a Japanese manga series written and illustrated by Yusei Matsui. The series follows the daily life of an extremely powerful octopus-like being working as a junior high homeroom teacher, and his students dedicated to the task of assassinating him to prevent Earth from being destroyed. The students are considered ""misfits"" in their school and are taught in a separate building; the class he teaches is called 3-E. It was serialized in Shueisha's shōnen manga magazine Weekly Shōnen Jump  from July 2012 to March 2016, with its chapters collected in twenty-one tankōbon volumes.
In North America, the manga has been licensed for English language release by Viz Media. The anime series has been licensed by Crunchyroll, formerly known as Funimation. The series was obtained by Madman Entertainment for digital distribution in Australia and New Zealand. An original video animation (OVA) adaptation produced by Brain's Base was screened at the Jump Super Anime Tour from October to November 2013. This was followed by an anime television adaptation by Lerche, which aired on Fuji Television, BS Fuji and other stations from January...",wikipedia,https://en.wikipedia.org/wiki/Assassination_Classroom
1157,"Assassination Classroom, Vol. 5","Assassination Classroom (Japanese: 暗殺教室, Hepburn: Ansatsu Kyōshitsu) is a Japanese manga series written and illustrated by Yusei Matsui. The series follows the daily life of an extremely powerful octopus-like being working as a junior high homeroom teacher, and his students dedicated to the task of assassinating him to prevent Earth from being destroyed. The students are considered ""misfits"" in their school and are taught in a separate building; the class he teaches is called 3-E. It was serialized in Shueisha's shōnen manga magazine Weekly Shōnen Jump  from July 2012 to March 2016, with its chapters collected in twenty-one tankōbon volumes.
In North America, the manga has been licensed for English language release by Viz Media. The anime series has been licensed by Crunchyroll, formerly known as Funimation. The series was obtained by Madman Entertainment for digital distribution in Australia and New Zealand. An original video animation (OVA) adaptation produced by Brain's Base was screened at the Jump Super Anime Tour from October to November 2013. This was followed by an anime television adaptation by Lerche, which aired on Fuji Television, BS Fuji and other stations from January...",wikipedia,https://en.wikipedia.org/wiki/Assassination_Classroom
1158,"Assassination Classroom, Vol. 6","Assassination Classroom (Japanese: 暗殺教室, Hepburn: Ansatsu Kyōshitsu) is a Japanese manga series written and illustrated by Yusei Matsui. The series follows the daily life of an extremely powerful octopus-like being working as a junior high homeroom teacher, and his students dedicated to the task of assassinating him to prevent Earth from being destroyed. The students are considered ""misfits"" in their school and are taught in a separate building; the class he teaches is called 3-E. It was serialized in Shueisha's shōnen manga magazine Weekly Shōnen Jump  from July 2012 to March 2016, with its chapters collected in twenty-one tankōbon volumes.
In North America, the manga has been licensed for English language release by Viz Media. The anime series has been licensed by Crunchyroll, formerly known as Funimation. The series was obtained by Madman Entertainment for digital distribution in Australia and New Zealand. An original video animation (OVA) adaptation produced by Brain's Base was screened at the Jump Super Anime Tour from October to November 2013. This was followed by an anime television adaptation by Lerche, which aired on Fuji Television, BS Fuji and other stations from January...",wikipedia,https://en.wikipedia.org/wiki/Assassination_Classroom
2653,"Assassination Classroom, Vol. 15","Assassination Classroom (Japanese: 暗殺教室, Hepburn: Ansatsu Kyōshitsu) is a Japanese manga series written and illustrated by Yusei Matsui. The series follows the daily life of an extremely powerful octopus-like being working as a junior high homeroom teacher, and his students dedicated to the task of assassinating him to prevent Earth from being destroyed. The students are considered ""misfits"" in their school and are taught in a separate building; the class he teaches is called 3-E. It was serialized in Shueisha's shōnen manga magazine Weekly Shōnen Jump  from July 2012 to March 2016, with its chapters collected in twenty-one tankōbon volumes.
In North America, the manga has been licensed for English language release by Viz Media. The anime series has been licensed by Crunchyroll, formerly known as Funimation. The series was obtained by Madman Entertainment for digital distribution in Australia and New Zealand. An original video animation (OVA) adaptation produced by Brain's Base was screened at the Jump Super Anime Tour from October to November 2013. This was followed by an anime television adaptation by Lerche, which aired on Fuji Television, BS Fuji and other stations from January...",wikipedia,https://en.wikipedia.org/wiki/Assassination_Classroom
